Date,City,Air_Quality_Index,Particulate_Matter_2.5,Particulate_Matter_10,Nitrogen_Dioxide,Sulphur_Dioxide,Carbon_Monoxide,Ozone,Temperature_Celsius,Humidity,Wind_Speed,Source_of_Pollution,Latitude,Longitude
1/1/2018,New York,178,47.5,90.1,36.7,9.6,1.9,81.4,1.1,91,9.7,Residential,40.7128,-74.006
1/1/2018,Los Angeles,189,11.8,55.7,31.9,8.6,1.4,28.4,-3.8,30,6.5,Residential,34.0522,-118.2437
1/1/2018,Chicago,112,6,78.7,31.4,5,0.8,80.9,37.7,85,10,Residential,41.8781,-87.6298
1/1/2018,Houston,87,17.9,40.8,26.2,4.5,0.9,29.6,7.6,83,3.4,Traffic,29.7604,-95.3698
1/1/2018,Phoenix,180,23.3,36.5,26.2,5.7,0.4,41.7,21.8,93,5,Industrial,33.4484,-112.074
1/1/2018,Philadelphia,104,49.1,41,5.1,1.4,1.5,98.9,-4.7,90,5.3,Industrial,39.9526,-75.1652
1/1/2018,San Antonio,105,16,26.1,42.3,9.8,1.3,39.5,-5.5,50,4.3,Traffic,29.4241,-98.4936
1/1/2018,San Diego,111,29.1,85.4,48.8,8.7,0.5,88.5,37.1,82,7.6,Traffic,32.7157,-117.1611
1/1/2018,Dallas,71,48,76,18.1,6.5,0.7,77,-1.6,27,2.8,Traffic,32.7767,-96.797
1/1/2018,San Jose,147,6.4,47,24.2,4.4,0.5,95.5,25.5,23,8.5,Residential,37.3382,-121.8863
1/2/2018,New York,55,47.4,91.2,8.2,9.4,1.7,28,8.2,71,5.7,Traffic,40.7128,-74.006
1/2/2018,Los Angeles,194,42.5,48.8,5.7,5.1,1.5,89.6,25.5,24,8.9,Traffic,34.0522,-118.2437
1/2/2018,Chicago,163,34.4,38.3,17.8,5.5,0.8,96.9,23.8,90,3.1,Residential,41.8781,-87.6298
1/2/2018,Houston,187,25.5,88.3,26.6,3,0.7,80.1,18.9,37,3.9,Residential,29.7604,-95.3698
1/2/2018,Phoenix,198,46.1,47.3,12.7,7.6,1.6,29.8,18.2,98,8.3,Industrial,33.4484,-112.074
1/2/2018,Philadelphia,91,33.5,65.5,47.8,4.3,1.2,95.8,30.7,89,9.3,Industrial,39.9526,-75.1652
1/2/2018,San Antonio,69,22.8,39.2,41.8,1.1,0.8,72.9,4.9,52,8.7,Industrial,29.4241,-98.4936
1/2/2018,San Diego,91,38.1,16.2,42.9,2,0.6,60.3,28.2,52,1.2,Residential,32.7157,-117.1611
1/2/2018,Dallas,90,7,39.1,36.2,5.6,1,43,26.8,49,9.2,Industrial,32.7767,-96.797
1/2/2018,San Jose,68,36.3,19.4,11.2,4.3,0.8,99.6,-6.5,27,1.4,Industrial,37.3382,-121.8863
1/3/2018,New York,164,16.3,43.8,41,3.3,0.6,76.5,3.5,38,7.5,Traffic,40.7128,-74.006
1/3/2018,Los Angeles,77,18.2,88,26.3,9.1,0.9,80.2,10.7,54,8.6,Industrial,34.0522,-118.2437
1/3/2018,Chicago,112,40.9,41.4,33.6,4.9,2,81.9,3.9,88,0.8,Traffic,41.8781,-87.6298
1/3/2018,Houston,183,39.5,77.5,41.6,8.1,0.6,23.2,22.8,37,8,Traffic,29.7604,-95.3698
